"site.id","constituent","Season","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"RONC02800","NO3","2002-10-01",92,32682.9669437289,31107.7704770606,4905.18138343891,114256.481524691,NA,NA,NA,NA,NA,92,49041.8199699036,NA,NA,NA,92,53331.8075068771,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-01-01",89,76644.014267523,57688.5627543111,16470.8816834281,227667.431488783,NA,NA,NA,NA,NA,89,115006.753304616,NA,NA,NA,89,137488.140953013,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-04-01",92,45759.4031213682,39073.0703936159,8159.49663695697,148413.755206654,NA,NA,NA,NA,NA,92,68663.4237042162,NA,NA,NA,92,61454.7551134009,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-07-01",92,24737.7448946299,22211.6332833827,4078.19442927823,83078.2517294861,NA,NA,NA,NA,NA,92,37119.7642906964,NA,NA,NA,92,31111.8361748066,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-10-01",92,30628.8697305952,25806.3594488843,5574.47320749845,98421.4446662416,NA,NA,NA,NA,NA,92,45959.5824133259,NA,NA,NA,92,45947.3446914309,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-01-01",90,77401.507868736,48852.0168980038,21040.0944652,203626.778598789,NA,NA,NA,NA,NA,90,116143.395721428,NA,NA,NA,90,131763.590905234,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-04-01",92,64446.6350501678,39402.7809001404,18219.3366282022,165936.002327028,NA,NA,NA,NA,NA,92,96704.2015722132,NA,NA,NA,92,92161.4231630618,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-07-01",92,35349.8707518639,22630.3449900687,9439.22215473443,93901.3529778103,NA,NA,NA,NA,NA,92,53043.5921404908,NA,NA,NA,92,47690.6170040001,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-10-01",92,41266.5943832337,25794.7889842388,11353.3300408301,107853.439106313,NA,NA,NA,NA,NA,92,61921.8220944854,NA,NA,NA,92,64018.4712152342,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2005-01-01",89,83757.7320467316,42830.6067730965,28994.8806560784,191797.942835104,NA,NA,NA,NA,NA,89,125681.109026605,NA,NA,NA,89,141916.318216947,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2005-04-01",92,55196.6321768005,30587.4811382044,17508.9168464534,133125.480387517,NA,NA,NA,NA,NA,92,82824.2815392057,NA,NA,NA,92,72274.5700425287,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2005-07-01",92,31971.7060065527,18188.193293081,9843.68107253716,78452.6822572673,NA,NA,NA,NA,NA,92,47974.5497197507,NA,NA,NA,92,39715.6036176773,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2005-10-01",92,34372.9186098128,19838.5972602411,10407.7452021747,85154.9354203902,NA,NA,NA,NA,NA,92,51577.6449515226,NA,NA,NA,92,47639.6328000312,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2006-01-01",89,72608.1116162079,32885.0437696534,28364.7924795373,154225.867046535,NA,NA,NA,NA,NA,89,108950.753139121,NA,NA,NA,89,112074.703491615,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2006-04-01",92,48053.7348743321,24000.8448036444,17047.3931556109,108411.259994562,NA,NA,NA,NA,NA,92,72106.139610924,NA,NA,NA,92,57910.4530788433,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2006-07-01",92,26815.2655605598,14025.2540114029,9063.28237209062,62295.7300823804,NA,NA,NA,NA,NA,92,40237.1487888331,NA,NA,NA,92,30085.9702054625,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2006-10-01",92,37715.4230684334,17186.8162449296,14648.6042019069,80407.5875364692,NA,NA,NA,NA,NA,92,56593.1775289832,NA,NA,NA,92,52252.1116218602,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2007-01-01",89,100705.451102163,31915.0961084748,52352.2226782758,176037.958133257,NA,NA,NA,NA,NA,89,151111.691612207,NA,NA,NA,89,174359.433375311,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2007-04-01",92,54456.9324991363,20751.2826153066,24727.3876206295,104723.615280877,92,46155.1166994989,375320.984553399,101.144007479419,313772.554552349,92,81714.3381863092,NA,NA,NA,92,65698.5018040531,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2007-07-01",92,37286.5714850954,12922.0541523055,18207.449153461,68170.6398267657,92,35042.4363699306,173247.820278162,204.394201831864,236134.224656141,92,55949.6714788816,NA,NA,NA,92,47302.0761442022,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2007-10-01",92,37363.9165393716,13868.1719830732,17322.9623015099,70832.1936010642,92,39310.1701613578,137796.947977363,461.012952712753,252259.808317895,92,56065.7306322063,NA,NA,NA,92,50868.1743048814,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2008-01-01",90,81905.8443423795,22585.7545833424,46447.5262982368,134226.716915345,90,88480.4146042518,192875.897828099,2760.8571235397,492996.37110739,90,122902.291565629,NA,NA,NA,90,123771.743696099,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2008-04-01",92,72473.1841120655,18144.9541843028,43359.951935342,113988.681314545,92,82804.7566157555,126164.168790055,5306.0537304831,389053.834096798,92,108748.288157615,NA,NA,NA,92,96343.7030036835,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
